0,0:0
0,1:0
0,2:0
0,3:0
0,4:0
1,0:0
2,0:0
3,0:0
4,0:0
5,0:0
6,0:0
7,0:0
8,0:0
9,0:0
10,0:0
11,0:0
12,0:0
13,0:0
14,0:0
15,0:0
16,0:0
17,0:0
18,0:0
19,0:0
20,0:0
21,0:0
22,0:0
23,0:0
24,0:0
25,0:0
26,0:0
27,0:0
28,0:0
29,0:0
30,0:0
31,0:0
32,0:0
33,0:0
34,0:0
35,0:0
36,0:0
37,0:0
38,0:0
39,0:0
40,0:0
1,1:0
1,2:0
1,3:0
1,4:0
2,1:0
2,2:0
2,3:0
2,4:0
2,5:0
2,6:0
2,7:0
3,1:0
3,2:0
3,3:0
3,4:0
3,5:0
3,6:0
3,7:0
3,8:0
3,9:0
3,10:0
3,11:0
3,12:0
3,13:0
3,14:0
3,15:0
3,16:0
3,17:0
3,18:0
3,19:0
3,20:0
3,21:0
3,22:0
3,23:0
3,24:0
3,25:0
3,26:0
3,27:0
3,28:0
3,29:0
3,30:0
3,31:0
3,32:0
3,33:0
3,34:0
4,1:0
4,2:0
4,3:0
4,4:0
4,5:0
4,6:0
5,1:0
5,2:0
5,3:0
5,4:0
5,5:0
5,6:0
5,7:0
5,8:0
6,1:0
6,2:583
7,1:0
7,2:0
7,3:0
7,4:0
7,5:0
7,6:0
7,7:0
7,8:0
7,9:0
7,10:0
7,11:0
7,12:0
7,13:0
7,14:0
7,15:0
7,16:0
7,17:0
7,18:0
7,19:0
7,20:0
7,21:0
7,22:0
7,23:0
7,24:0
7,25:0
7,26:0
7,27:0
7,28:0
7,29:0
7,30:0
7,31:0
7,32:0
7,33:0
7,34:0
7,35:0
7,36:0
8,1:0
8,2:0
8,3:0
8,4:0
8,5:0
9,1:0
9,2:305
9,3:0
9,4:0
9,5:0
10,1:0
10,2:0
10,3:0
10,4:0
11,1:0
11,2:0
11,3:0
11,4:0
11,5:0
11,6:0
11,7:0
12,1:0
12,2:0
13,1:0
13,2:0
13,3:0
13,4:0
13,5:0
13,6:0
13,7:0
13,8:0
13,9:0
13,10:0
13,11:0
13,12:0
13,13:0
13,14:0
13,15:0
13,16:0
13,17:0
13,18:0
13,19:0
13,20:0
13,21:0
13,22:0
13,23:0
13,24:0
13,25:0
13,26:0
13,27:0
13,28:0
13,29:0
13,30:0
13,31:0
13,32:0
14,1:0
14,2:0
14,3:0
14,4:0
14,5:0
14,6:0
14,7:0
14,8:0
14,9:0
14,10:0
15,1:0
15,2:0
15,3:0
15,4:0
15,5:0
15,6:0
15,7:0
15,8:0
15,9:0
15,10:0
15,11:0
15,12:0
15,13:0
15,14:0
15,15:0
15,16:0
15,17:0
15,18:0
15,19:0
15,20:0
15,21:0
15,22:0
15,23:0
15,24:0
15,25:0
15,26:0
15,27:0
16,1:0
16,2:0
16,3:0
16,4:0
16,5:0
16,6:0
16,7:0
17,1:0
17,2:0
17,3:0
17,4:0
17,5:0
17,6:0
17,7:0
17,8:0
17,9:0
17,10:0
17,11:0
17,12:0
18,1:0
18,2:0
18,3:0
18,4:0
18,5:0
18,6:0
18,7:0
18,8:0
18,9:0
18,10:0
18,11:0
18,12:0
18,13:0
18,14:0
18,15:0
18,16:0
18,17:0
18,18:0
18,19:0
19,1:0
19,2:323
19,3:0
19,4:0
19,5:0
19,6:0
19,7:0
19,8:0
19,9:0
19,10:0
19,11:0
19,12:0
19,13:0
19,14:0
19,15:0
19,16:0
19,17:0
19,18:0
19,19:0
19,20:0
19,21:0
19,22:0
19,23:0
19,24:0
19,25:594
19,26:346
19,27:0
19,28:329
19,29:0
19,30:0
19,31:0
19,32:0
19,33:0
19,34:0
19,35:0
19,36:0
20,1:0
20,2:0
20,3:0
20,4:0
20,5:0
20,6:0
20,7:0
20,8:0
20,9:0
20,10:0
20,11:0
20,12:0
20,13:0
20,14:0
20,15:0
20,16:0
20,17:0
20,18:0
20,19:0
20,20:0
20,21:0
20,22:0
20,23:333
20,24:0
21,1:0
21,2:0
21,3:0
21,4:0
21,5:0
21,6:0
21,7:0
22,1:0
22,2:0
22,3:0
22,4:0
22,5:0
22,6:0
22,7:0
22,8:0
22,9:0
22,10:0
22,11:0
22,12:0
22,13:0
22,14:0
22,15:0
22,16:0
22,17:0
22,18:0
22,19:0
22,20:0
22,21:0
22,22:0
22,23:0
22,24:0
22,25:0
22,26:0
22,27:0
22,28:0
22,29:0
22,30:0
22,31:0
22,32:0
22,33:0
22,34:0
22,35:0
22,36:0
23,1:0
23,2:0
23,3:0
23,4:0
23,5:0
23,6:0
23,7:0
23,8:0
23,9:0
23,10:0
23,11:0
23,12:0
23,13:0
23,14:0
23,15:0
23,16:0
23,17:0
23,18:0
23,19:0
23,20:0
23,21:0
23,22:0
23,23:0
23,24:0
24,1:0
24,2:0
24,3:0
24,4:0
24,5:0
24,6:0
24,7:0
24,8:0
24,9:0
24,10:0
24,11:0
24,12:0
24,13:0
24,14:0
24,15:0
24,16:0
24,17:0
24,18:0
24,19:0
24,20:0
24,21:0
24,22:0
24,23:0
24,24:0
24,25:0
24,26:0
24,27:0
24,28:0
24,29:0
24,30:0
24,31:0
24,32:0
24,33:0
24,34:0
25,1:0
25,2:0
25,3:0
26,1:0
26,2:0
26,3:0
26,4:0
26,5:0
26,6:0
27,1:0
27,2:0
27,3:0
27,4:0
27,5:0
27,6:0
27,7:0
27,8:0
27,9:0
27,10:0
27,11:0
27,12:0
27,13:0
27,14:0
27,15:0
28,1:0
28,2:0
28,3:0
29,1:0
29,2:0
29,3:0
30,1:0
30,2:0
30,3:0
30,4:0
30,5:0
30,6:0
31,1:0
31,2:0
31,3:0
31,4:0
31,5:0
31,6:0
32,1:0
32,2:0
32,3:0
32,4:0
33,1:0
33,2:0
33,3:0
33,4:0
33,5:0
33,6:0
33,7:0
33,8:0
33,9:0
33,10:0
33,11:0
33,12:0
33,13:0
33,14:0
33,15:0
33,16:0
33,17:0
33,18:0
33,19:0
33,20:0
33,21:0
33,22:0
33,23:0
33,24:0
33,25:0
33,26:0
33,27:0
34,1:0
34,2:0
34,3:0
35,1:0
35,2:0
35,3:0
35,4:0
35,5:0
35,6:0
36,1:0
36,2:0
36,3:0
36,4:0
36,5:0
36,6:0
37,1:0
37,2:0
37,3:0
37,4:0
37,5:0
37,6:0
37,7:0
37,8:0
37,9:0
37,10:0
38,1:0
38,2:0
38,3:0
38,4:0
38,5:0
38,6:0
38,7:0
38,8:0
38,9:0
38,10:0
38,11:0
38,12:0
38,13:0
39,1:0
39,2:0
39,3:0
40,1:0
40,2:0
